time_s,ego_x_m,ego_speed_mps,other_x_m,other_speed_mps,gap_m,ttc_s,overlap_active
0.0,0.0,18.055555555555554,-19.6,25.0,15.000000000000002,2.1599999999999997,False
0.1,1.8055555555555554,18.055555555555554,-17.1,25.0,14.305555555555559,2.06,False
0.2,3.6111111111111107,18.055555555555554,-14.600000000000001,25.0,13.611111111111112,1.9599999999999997,False
0.30000000000000004,5.416666666666666,18.055555555555554,-12.100000000000001,25.0,12.916666666666666,1.8599999999999994,False
0.4,7.222222222222221,18.055555555555554,-9.600000000000001,25.0,12.222222222222223,1.7599999999999996,False
0.5,9.027777777777777,18.055555555555554,-7.100000000000001,25.0,11.52777777777778,1.66,False
0.6000000000000001,10.833333333333332,18.055555555555554,-4.600000000000001,25.0,10.833333333333334,1.5599999999999996,False
0.7000000000000001,12.638888888888888,18.055555555555554,-2.1000000000000014,25.0,10.13888888888889,1.4599999999999997,False
0.8,14.444444444444443,18.055555555555554,0.3999999999999986,25.0,9.444444444444445,1.3599999999999997,False
0.9,16.25,18.055555555555554,2.8999999999999986,25.0,8.750000000000002,1.2599999999999998,False
1.0,18.055555555555557,18.055555555555554,5.399999999999999,25.0,8.055555555555559,1.1600000000000001,False
1.1,19.861111111111114,18.055555555555554,7.899999999999999,25.0,7.361111111111116,1.0600000000000005,False
1.2000000000000002,21.66666666666667,18.055555555555554,10.399999999999999,25.0,6.666666666666673,0.9600000000000006,False
1.3,23.47222222222223,18.055555555555554,12.899999999999999,25.0,5.97222222222223,0.8600000000000009,False
1.4000000000000001,25.277777777777786,18.055555555555554,15.399999999999999,25.0,5.2777777777777874,0.7600000000000012,True
1.5,27.083333333333343,18.055555555555554,17.9,25.0,4.583333333333345,0.6600000000000015,True
1.6,28.8888888888889,18.055555555555554,20.4,25.0,3.8888888888889017,0.5600000000000017,True
1.7000000000000002,30.694444444444457,18.055555555555554,22.9,25.0,3.194444444444459,0.46000000000000196,True
1.8,32.500000000000014,18.055555555555554,25.4,25.0,2.500000000000016,0.3600000000000022,True
1.9000000000000001,34.30555555555557,18.055555555555554,27.9,25.0,1.8055555555555731,0.26000000000000245,True
2.0,36.11111111111113,18.055555555555554,30.4,25.0,1.1111111111111303,0.16000000000000272,True
2.1,37.916666666666686,18.055555555555554,32.9,25.0,0.4166666666666874,0.06000000000000297,True
2.2,39.72222222222224,18.055555555555554,35.4,25.0,-0.2777777777777555,inf,True
