generated_case_id,seed_case_id,scenario_type,round_name,result,collision,min_gap_m,min_ttc_s,metrics
CASE_MERGE_001_C054,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.972,0.046,{'trajectory_frames': 32.0}
CASE_MERGE_001_C055,CASE_MERGE_001,highway_merge,coarse,FAIL,False,3.889,2.8,{'trajectory_frames': 81.0}
CASE_MERGE_001_C056,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.833,0.0,{'trajectory_frames': 20.0}
CASE_MERGE_001_C057,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-6.389,,{'trajectory_frames': 15.0}
CASE_MERGE_001_C058,CASE_MERGE_001,highway_merge,coarse,PASS,False,23.889,17.2,{'trajectory_frames': 81.0}
CASE_MERGE_001_C059,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.833,0.0,{'trajectory_frames': 44.0}
CASE_MERGE_001_C060,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.139,0.091,{'trajectory_frames': 24.0}
CASE_MERGE_001_C061,CASE_MERGE_001,highway_merge,coarse,PASS,False,43.889,31.6,{'trajectory_frames': 81.0}
CASE_MERGE_001_C062,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.833,0.0,{'trajectory_frames': 68.0}
CASE_MERGE_001_C063,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-1.528,0.0,{'trajectory_frames': 38.0}
CASE_MERGE_001_C064,CASE_MERGE_001,highway_merge,coarse,FAIL,False,3.889,2.8,{'trajectory_frames': 81.0}
CASE_MERGE_001_C065,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-2.5,,{'trajectory_frames': 22.0}
CASE_MERGE_001_C066,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-17.083,,{'trajectory_frames': 22.0}
CASE_MERGE_001_C067,CASE_MERGE_001,highway_merge,coarse,PASS,False,23.889,17.2,{'trajectory_frames': 81.0}
CASE_MERGE_001_C068,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.833,0.0,{'trajectory_frames': 44.0}
CASE_MERGE_001_C069,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.139,0.091,{'trajectory_frames': 24.0}
CASE_MERGE_001_C070,CASE_MERGE_001,highway_merge,coarse,PASS,False,43.889,31.6,{'trajectory_frames': 81.0}
CASE_MERGE_001_C071,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.833,0.0,{'trajectory_frames': 68.0}
CASE_MERGE_001_C072,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-1.528,0.0,{'trajectory_frames': 38.0}
CASE_MERGE_001_C073,CASE_MERGE_001,highway_merge,coarse,FAIL,False,3.889,2.8,{'trajectory_frames': 81.0}
CASE_MERGE_001_C074,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-8.333,,{'trajectory_frames': 29.0}
CASE_MERGE_001_C075,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-27.778,,{'trajectory_frames': 29.0}
CASE_MERGE_001_C076,CASE_MERGE_001,highway_merge,coarse,PASS,False,23.889,17.2,{'trajectory_frames': 81.0}
CASE_MERGE_001_C077,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.833,0.0,{'trajectory_frames': 44.0}
CASE_MERGE_001_C078,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-7.778,,{'trajectory_frames': 29.0}
CASE_MERGE_001_C079,CASE_MERGE_001,highway_merge,coarse,PASS,False,43.889,31.6,{'trajectory_frames': 81.0}
CASE_MERGE_001_C080,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.833,0.0,{'trajectory_frames': 68.0}
CASE_MERGE_001_C081,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-1.528,0.0,{'trajectory_frames': 38.0}
