time_s,ego_x_m,ego_speed_mps,other_x_m,other_speed_mps,gap_m,ttc_s,overlap_active
0.0,0.0,27.77777777777778,54.6,15.277777777777777,50.0,3.9999999999999996,True
0.1,2.777777777777778,27.77777777777778,56.12777777777778,15.277777777777777,48.75,3.8999999999999995,True
0.2,5.555555555555556,27.77777777777778,57.65555555555556,15.277777777777777,47.5,3.7999999999999994,True
0.30000000000000004,8.333333333333334,27.77777777777778,59.18333333333334,15.277777777777777,46.25,3.6999999999999993,True
0.4,11.111111111111112,27.77777777777778,60.711111111111116,15.277777777777777,45.0,3.5999999999999996,True
0.5,13.888888888888891,27.77777777777778,62.238888888888894,15.277777777777777,43.75,3.4999999999999996,True
0.6000000000000001,16.666666666666668,27.77777777777778,63.741666666666674,14.777777777777777,42.475,3.267307692307692,True
0.7000000000000001,19.444444444444446,27.77777777777778,65.19444444444446,14.277777777777777,41.15000000000001,3.0481481481481487,True
0.8,22.222222222222225,27.77777777777778,66.59722222222223,13.777777777777777,39.775,2.841071428571428,True
0.9,25.000000000000004,27.77777777777778,67.95,13.277777777777777,38.35,2.644827586206896,True
1.0,27.777777777777782,27.77777777777778,69.25277777777778,12.777777777777777,36.87499999999999,2.4583333333333326,True
1.1,30.55555555555556,27.77777777777778,70.50555555555556,12.277777777777777,35.35,2.2806451612903222,True
1.2000000000000002,33.333333333333336,27.77777777777778,71.70833333333334,11.777777777777777,33.775000000000006,2.1109375000000004,True
1.3,36.111111111111114,27.77777777777778,72.86111111111111,11.277777777777777,32.15,1.9484848484848485,True
1.4000000000000001,38.88888888888889,27.77777777777778,73.96388888888889,10.777777777777777,30.474999999999994,1.792647058823529,True
1.5,41.66666666666667,27.77777777777778,75.01666666666667,10.277777777777777,28.749999999999993,1.6428571428571423,True
1.6,44.41444444444445,27.177777777777777,76.01944444444445,9.777777777777777,27.004999999999995,1.5520114942528733,True
1.7000000000000002,47.102222222222224,26.577777777777776,76.97222222222223,9.277777777777777,25.270000000000003,1.4606936416184975,True
1.8,49.730000000000004,25.977777777777774,77.875,8.777777777777777,23.544999999999995,1.3688953488372093,True
1.9000000000000001,52.29777777777778,25.377777777777773,78.72777777777777,8.277777777777777,21.82999999999999,1.2766081871345027,True
2.0,54.80555555555556,24.77777777777777,79.53055555555555,7.777777777777777,20.124999999999993,1.1838235294117647,True
2.1,57.25333333333334,24.17777777777777,80.28333333333333,7.277777777777777,18.429999999999993,1.0905325443786984,True
2.2,59.641111111111115,23.57777777777777,80.98611111111111,6.777777777777777,16.744999999999997,0.9967261904761909,True
2.3000000000000003,61.96888888888889,22.977777777777767,81.63888888888889,6.277777777777777,15.069999999999995,0.9023952095808386,True
2.4000000000000004,64.23666666666666,22.377777777777766,82.24166666666666,5.777777777777777,13.404999999999996,0.8075301204819281,True
2.5,66.44444444444444,21.777777777777764,82.79444444444444,5.277777777777777,11.749999999999995,0.7121212121212124,True
2.6,68.59222222222222,21.177777777777763,83.29722222222222,4.777777777777777,10.104999999999999,0.6161585365853663,True
2.7,70.67999999999999,20.57777777777776,83.75,4.277777777777777,8.470000000000008,0.5196319018404918,True
2.8000000000000003,72.70777777777776,19.97777777777776,84.15277777777777,3.777777777777777,6.845000000000008,0.42253086419753183,True
2.9000000000000004,74.67555555555553,19.37777777777776,84.50555555555555,3.277777777777777,5.230000000000013,0.3248447204968956,True
3.0,76.58333333333331,18.777777777777757,84.80833333333332,2.777777777777777,3.625000000000009,0.22656250000000083,True
3.1,78.4311111111111,18.177777777777756,85.0611111111111,2.277777777777777,2.03000000000001,0.12767295597484357,True
3.2,80.21888888888887,17.577777777777754,85.26388888888889,1.7777777777777768,0.44500000000001627,0.028164556962026386,True
3.3000000000000003,81.94666666666664,16.977777777777753,85.41666666666666,1.2777777777777768,-1.1299999999999866,inf,True
